protocol_id,protocol_sha256,analysis_status,study_id,panel_id,pollutant,strategy,per_anchor_fraction,n_candidates,n_strata,anchors,n_retained,retained_candidates,candidate_reduction_fraction,baseline_assay_units,protocol_assay_units,assay_reduction_fraction,query_best_coverage,mean_regret,mean_normalized_regret
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_initial_pH,Urea,ever_top_one_third,0.3333333333333333,4,5,pH=3 | pH=11,2,CBC | SUCBC,0.5,20,14,0.30000000000000004,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Wei2025,Wei2025_urea_initial_pH,Urea,ever_top_half_frozen_primary,0.5,4,5,pH=3 | pH=11,2,CBC | SUCBC,0.5,20,14,0.30000000000000004,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_initial_pH,Urea,ever_top_two_thirds,0.6666666666666666,4,5,pH=3 | pH=11,3,CBC | SUBC | SUCBC,0.25,20,17,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_initial_pH,Urea,ever_top_three_quarters,0.75,4,5,pH=3 | pH=11,3,CBC | SUBC | SUCBC,0.25,20,17,0.15000000000000002,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_initial_pH,Urea,retain_all,1.0,4,5,pH=3 | pH=11,4,BC | CBC | SUBC | SUCBC,0.0,20,20,0.0,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_isotherm,Urea,ever_top_one_third,0.3333333333333333,4,6,C0_mg_L=50 | C0_mg_L=300,2,CBC | SUCBC,0.5,24,16,0.33333333333333337,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,frozen_primary,Wei2025,Wei2025_urea_isotherm,Urea,ever_top_half_frozen_primary,0.5,4,6,C0_mg_L=50 | C0_mg_L=300,2,CBC | SUCBC,0.5,24,16,0.33333333333333337,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_isotherm,Urea,ever_top_two_thirds,0.6666666666666666,4,6,C0_mg_L=50 | C0_mg_L=300,3,CBC | SUBC | SUCBC,0.25,24,20,0.16666666666666663,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_isotherm,Urea,ever_top_three_quarters,0.75,4,6,C0_mg_L=50 | C0_mg_L=300,3,CBC | SUBC | SUCBC,0.25,24,20,0.16666666666666663,1.0,0.0,0.0
BC-CANDIDATE-RETENTION-2026-07-16-v1,dfb2029812af8a4a915aeb53b04412c308787544086f94bd3014684d673c345e,postfreeze_exploratory_sensitivity,Wei2025,Wei2025_urea_isotherm,Urea,retain_all,1.0,4,6,C0_mg_L=50 | C0_mg_L=300,4,BC | CBC | SUBC | SUCBC,0.0,24,24,0.0,1.0,0.0,0.0
